0
"156 BIPACK JAMON IB CEBO 50% RI 50+50 GM .  4,37€/SOBRE"
"158 JAMON DE CEBO IBERICO 50% RI C/MAQUINA 100 GM .  4,06€/SOBRE"
"159 JAMON DE CEBO IBERICO 50% RI C/MAQUINA 80GM .  3,38€/SOBRE"
"121 PLATO JAMON DE CEBO IBERICO 50% RI C/MAQUINA 100GM .  4,25€/PLATO"
"110 JAMON DE BELLOTA IBERICO 50% C/MAQUINA 100GM .  6,56€/SOBRE"
"111 JAMON DE BELLOTA IBERICO 50% C/MAQUINA 80GM .  5,38€/SOBRE"
"152 JAMON GRAN RESERVA C/MAQUINA 100GM   2,80€/SOBRE"
"160 JAMON GRAN RESERVA C/MAQUINA 80GM   2,25€/SOBRE"
"134 JAMON ETIQUETA NEGRA C/MAQUINA 100 GM .  4,31€/SOBRE"
"135 JAMON ETIQUETA NEGRA C/MAQUINA 80GM .  3,56€/SOBRE"
"200 PALETA DE BELLOTA 100% IBERICA   20,00€/KG"
"206 PALETA DE BELLOTA IBERICA 50% RI .  17,50€/KG"
"207 PALETA DE BELLOTA IBERICA 50% RI DESHUESADA   36,56€/KG"
"217 PALETA CEBO DE CAMPO IB 50% RI C/CUCH 100GM CUADRADA BLONDA   4,63€/SOBRE"
"215 PALETA DE CEBO DE CAMPO IBERICA 50% RI   11,60€/KG"
"216 PALETA DE CEBO DE CAMPO IBERICA 50% RI DESHUESADA   23,25€/KG"
"224 PALETA DE CEBO IBERICA 50% RI 4.5-5 KG  10,30€/KG  49,50€/PZA."
"224 PALETA DE CEBO IBERICA 50% RI .  10,30€/KG"
"225 PALETA DE CEBO IBERICA 50% RI DESHUESADA   22,20€/KG"
"218 PALETA IBERICA CEBO LONCHEADA 500 GRS   14,80€/SOBRE"
"238 PALETA BLANCA   5,50€/KG"
"239 PALETA BLANCA DESHUESADA PULIDO  12,75€/KG"
"239 PALETA BLANCA DESHUESADA SIN PULIR  11,25€/KG"
"237 PALETA BLANCA DUROC   6,81€/KG"
"227 PALETA ESENCIA AZUL 3.4-3.7 KG  9,05€/KG  32,65€/PZA."
"227 PALETA ESENCIA AZUL 3.7-4 KG  9,05€/KG  35,40€/PZA."
"227 PALETA ESENCIA AZUL 4-4.25 KG  9,05€/KG  38,05€/PZA."
227 PALETA ESENCIA AZUL 4.5 kg aprox
"227 PALETA ESENCIA AZUL .  9,05€/KG"
"230 PALETA ETIQUETA NEGRA 3.4-3.7 KG  10,95€/KG  39,40€/PZA."
"230 PALETA ETIQUETA NEGRA 3.7-4 KG  10,95€/KG  42,65€/PZA."
"230 PALETA ETIQUETA NEGRA 4-4.25 KG  10,95€/KG  45,95€/PZA."
"230 PALETA ETIQUETA NEGRA 4.25-4.5 KG  10,95€/KG  48,15€/PZA."
"230 PALETA ETIQUETA NEGRA 4.5-5 KG  10,95€/KG  52,50€/PZA."
"230 PALETA ETIQUETA NEGRA 5-5.5 KG  10,95€/KG  58,00€/PZA."
"230 PALETA ETIQUETA NEGRA .  10,95€/KG"
"231 PALETA ETIQUETA NEGRA DESHUESADA   23,45€/KG"
"254 PALETA EXCELLENT 3.4-3.7 KG  10,95€/KG  39,40€/PZA."
"254 PALETA EXCELLENT 3.7-4 KG  10,95€/KG  42,65€/PZA."
"254 PALETA EXCELLENT 4-4.25 KG  10,95€/KG  45,95€/PZA."
"254 PALETA EXCELLENT 4.25-4.5 KG  10,95€/KG  48,15€/PZA."
