;TODO
71;160 JAMON GRAN RESERVA C/MAQUINA 80GM   2,25€/SOBRE
72;134 JAMON ETIQUETA NEGRA C/MAQUINA 100 GM .  4,31€/SOBRE
73;135 JAMON ETIQUETA NEGRA C/MAQUINA 80GM .  3,56€/SOBRE
74;200 PALETA DE BELLOTA 100% IBERICA   20,00€/KG
75;206 PALETA DE BELLOTA IBERICA 50% RI .  17,50€/KG
76;207 PALETA DE BELLOTA IBERICA 50% RI DESHUESADA   36,56€/KG
77;217 PALETA CEBO DE CAMPO IB 50% RI C/CUCH 100GM CUADRADA BLONDA   4,63€/SOBRE
78;215 PALETA DE CEBO DE CAMPO IBERICA 50% RI   11,60€/KG
79;216 PALETA DE CEBO DE CAMPO IBERICA 50% RI DESHUESADA   23,25€/KG
80;224 PALETA DE CEBO IBERICA 50% RI 4.5-5 KG  10,30€/KG  49,50€/PZA.
81;224 PALETA DE CEBO IBERICA 50% RI .  10,30€/KG
82;225 PALETA DE CEBO IBERICA 50% RI DESHUESADA   22,20€/KG
83;218 PALETA IBERICA CEBO LONCHEADA 500 GRS   14,80€/SOBRE
84;238 PALETA BLANCA   5,50€/KG
85;239 PALETA BLANCA DESHUESADA PULIDO  12,75€/KG
86;239 PALETA BLANCA DESHUESADA SIN PULIR  11,25€/KG
87;237 PALETA BLANCA DUROC   6,81€/KG
88;227 PALETA ESENCIA AZUL 3.4-3.7 KG  9,05€/KG  32,65€/PZA.
89;227 PALETA ESENCIA AZUL 3.7-4 KG  9,05€/KG  35,40€/PZA.
90;227 PALETA ESENCIA AZUL 4-4.25 KG  9,05€/KG  38,05€/PZA.
91;227 PALETA ESENCIA AZUL 4.5 kg aprox
92;227 PALETA ESENCIA AZUL .  9,05€/KG
93;230 PALETA ETIQUETA NEGRA 3.4-3.7 KG  10,95€/KG  39,40€/PZA.
94;230 PALETA ETIQUETA NEGRA 3.7-4 KG  10,95€/KG  42,65€/PZA.
95;230 PALETA ETIQUETA NEGRA 4-4.25 KG  10,95€/KG  45,95€/PZA.
96;230 PALETA ETIQUETA NEGRA 4.25-4.5 KG  10,95€/KG  48,15€/PZA.
97;230 PALETA ETIQUETA NEGRA 4.5-5 KG  10,95€/KG  52,50€/PZA.
98;230 PALETA ETIQUETA NEGRA 5-5.5 KG  10,95€/KG  58,00€/PZA.
99;230 PALETA ETIQUETA NEGRA .  10,95€/KG
100;231 PALETA ETIQUETA NEGRA DESHUESADA   23,45€/KG
101;254 PALETA EXCELLENT 3.4-3.7 KG  10,95€/KG  39,40€/PZA.
102;254 PALETA EXCELLENT 3.7-4 KG  10,95€/KG  42,65€/PZA.
103;254 PALETA EXCELLENT 4-4.25 KG  10,95€/KG  45,95€/PZA.
104;254 PALETA EXCELLENT 4.25-4.5 KG  10,95€/KG  48,15€/PZA.
105;254 PALETA EXCELLENT 4.5-5 KG  10,95€/KG  52,50€/PZA.
106;254 PALETA EXCELLENT 5-5.5 KG  10,95€/KG  58,00€/PZA.
107;202 PALETA BELLOTA 100% IBERICA C/CUCHILLO 100GM CUADRADA BLONDA   6,65€/SOBRE
108;203 PALETA BELLOTA 100% IBERICA C/CUCHILLO 100GM REDONDA BLONDA   6,90€/SOBRE
109;208 PALETA BELLOTA IBE 50% RI C/CUCHILLO 100GM CUADRADA BLONDA  5,81€/KG
110;209 PALETA BELLOTA IBE 50% RI C/CUCHILLO 100GM REDONDA BLONDA  6,06€/SOBRE
111;226 PALETA CEBO IBERICO 50% RI  C/CUCHILLO 100GM CUADRADA BLONDA  4,13€/SOBRE
112;243 PALETA CEBO IBERICO 50% RI C/CUCHILLO 100GM REDONDA BLONDA  4,38€/SOBRE
113;245 PALETA CEBO DE CAMPO IB 50% RI C/CUCH 100GM REDONDA BLONDA   4,90€/SOBRE
114;232 PALETA ETIQUETA NEGRA C/CUCHILLO 100GM CUADRADA BLONDA  4,50€/SOBRE
115;244 PALETA ETIQUETA NEGRA C/CUCHILLO 100GM REDONDA BLONDA  4,75€/SOBRE
116;233 PALETA DE CEBO IBERICA 50% RI LONCHEADO C/MAQUINA 100 GM   2,75€/SOBRE
117;234 PALETA DE CEBO IBERICA 50% RI LONCHEADO C/MAQUINA 80 GM   2,65€/SOBRE
118;210 PALETA BELLOTA IBERICA 50% RI C/MAQUINA 100GM .  4,69€/SOBRE
119;211 PALETA BELLOTA IBERICA 50% RI C/MAQUINA 80GM   3,75€/SOBRE
120;219 PALETA BODEGA LONCHEADO C/MAQUINA 500 GM   8,25€/SOBRE
121;235 PALETA ETIQUETA NEGRA C/MAQUINA 100GM .  3,24€/SOBRE
122;242 PALETA ETIQUETA NEGRA C/MAQUINA 80GM   2,70€/SOBRE
123;415 LOMITO BELLOTA IBERICO   57,50€/KG
124;411 CABEZA LOMO ENTEROS  15,63€/KG  18,75€/PZA.
125;411 CABEZA LOMO EN MITADES  15,94€/KG  9,56€/PZA.
126;401 LOMO DE BELLOTA 100% IBERICO ENTEROS  43,75€/KG
127;401 LOMO DE BELLOTA 100% IBERICO EN MITADES  44,05€/KG
128;403 LOMO DE BELLOTA IBERICO 50% RI ENTEROS  41,25€/KG
129;403 LOMO DE BELLOTA IBERICO 50% RI EN MITADES  41,55€/KG
130;403 LOMO DE BELLOTA IBERICO 50% RI PIEZA 0.700 KG  29,15€/PZA.
131;403 LOMO DE BELLOTA IBERICO 50% RI PIEZA 0.600 KG APROX
132;406 LOMO DE CEBO CAMPO 50% RI ENTEROS  33,10€/KG
133;406 LOMO DE CEBO CAMPO 50% RI EN MITADES  33,45€/KG
134;409 LOMO DE CEBO IBERICO 50% RI ENTEROS  31,25€/KG
135;409 LOMO DE CEBO IBERICO 50% RI EN MITADES  31,90€/KG
136;409 LOMO DE CEBO IBERICO 50% RI PIEZA 0.700 KG  22,30€/PZA.
137;409-C LOMO DE CEBO IBERICO 50% RI MITADES PIEZA 0.600 KG APROX
138;409-C LOMO DE CEBO IBERICO 50% RI MITADES PIEZA 0.500 KG APROX
139;412 LOMO ETIQUETA ORO ENTEROS  33,75€/KG
140;412 LOMO ETIQUETA ORO EN MITADES  34,40€/KG
141;412 LOMO ETIQUETA ORO PIEZA 0.700 KG  24,05€/PZA.
142;410 LOMO HUNGARO ENTEROS  17,25€/KG
143;410 LOMO HUNGARO EN MITADES  17,25€/KG
144;500 CHORIZO IBE BELLOTA ENTEROS  13,75€/KG
145;500 CHORIZO IBE BELLOTA EN MITADES  14,05€/KG
146;500 CHORIZO IBE BELLOTA PIEZA 0.500 KG  7,05€/PZA.
147;502 CHORIZO IBE HERRADURA   12,50€/KG
148;501 CHORIZO IBERICO ENTEROS  12,50€/KG
149;501 CHORIZO IBERICO EN MITADES  12,80€/KG
150;501 CHORIZO IBERICO PIEZA 0.500 KG  6,45€/PZA.
151;503 CHORIZO IBERICO VELA   3,20€/PZA
152;504 MORCON DE BELLOTA IBERICO ENTEROS  13,75€/KG
153;504 MORCON DE BELLOTA IBERICO EN MITADES  14,05€/KG
154;504 MORCON DE BELLOTA IBERICO PIEZA 0.900 KG
155;600 SALCHICHON IBE BELLOTA ENTEROS  13,75€/KG
156;600 SALCHICHON IBE BELLOTA EN MITADES  14,05€/KG
157;600 SALCHICHON IBE BELLOTA PIEZA 0.500 KG  7,05€/KG  7,05€/PZA.
158;601 SALCHICHON IBERICO ENTEROS  12,50€/KG
159;601 SALCHICHON IBERICO EN MITADES  12,80€/KG
160;601 SALCHICHON IBERICO PIEZA 0.500 KG  6,45€/PZA.
161;602 SALCHICHON IBERICO HERRADURA   12,50€/KG
162;603 SALCHICHÓN IBÉRICO VELA   3,15€/PZA
163;607 BIPACK SALCHICHON IB BELLOTA EXTRA 50+50 GM .  2,12€/SOBRE
164;604 SALCHICHON IBERICO BELLOTA LONCHEADO C/MAQUINA 100 GM .  2,17€/SOBRE
165;507 BIPACK CHORIZO IB BELLOTA EXTRA 50+50 GM .  2,12€/SOBRE
166;505 CHORIZO IBERICO BELLOTA LONCHEADO C/MAQUINA 100 GM .  2,17€/SOBRE
167;419 BIPACK CAÑA LOMO CEBO 50% RI 50+50 GM .  4,37€/SOBRE
168;303 QUESO BENITO MEZCLA ENTEROS  14,50€/KG
169;303 QUESO BENITO MEZCLA EN MITADES  14,81€/KG
170;302 QUESO BENITO OVEJA CURADO LECHE CRUDA CUÑA  18,75€/KG
171;302 QUESO BENITO OVEJA CURADO LECHE CRUDA ENTEROS  16,81€/KG
172;302 QUESO BENITO OVEJA CURADO LECHE CRUDA EN MITADES  17,13€/KG
173;300 QUESO BENITO OVEJA CURADO PASTEURIZADO ENTERO  16,44€/KG
174;300 QUESO BENITO OVEJA CURADO PASTEURIZADO EN MITADES  16,75€/KG
175;304 QUESO FILLOY MINI   16,38€/KG
176;301 QUESO FILLOY OVEJA ENTEROS  16,25€/KG
177;301 QUESO FILLOY OVEJA EN MITADES  16,56€/KG
178;305 QUESO MEZCLA MINI   14,70€/KG
179;700 ACEITE BENITO 0.5 L BOTELLA PLÁSTICO   4,19€/BOTELLA
180;702 ACEITE BENITO 5 LITROS   41,88€/BOTELLA
